sample_name	total_templates	total_reads	productive_templates	total_productive_reads	fraction_productive	total_rearrangements	productive_rearrangements	productive_clonality	max_productive_frequency	locus	sample_tags	sku	test_name
HealthyControl2_unstim_CD4	197902	na	159120	na	0.8040	149611	120777	0.0452	0.018508045	TCRB	Buffy Coat, CD4+, Control, Control 2, Sorted Cells, T cells, Unstimulated T Cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
HealthyControl1_unstim_CD4	207915	na	170771	na	0.8214	184772	151392	0.0092	0.0016864691045388872	TCRB	Buffy Coat, CD4+, Control, Control 1, Sorted Cells, T cells, Unstimulated T Cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
HealthyControl1_unstim_CD8	202860	na	162864	na	0.8028	133211	108291	0.0904	0.0245235283	TCRB	Buffy Coat, CD8+, Control, Control 1, Sorted Cells, T cells, Unstimulated T Cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
HealthyControl1_CD8_CFSElow_run1	14349	na	11794	na	0.8219	6476	5157	0.0560	0.0119552314	TCRB	Buffy Coat, CD8+, Control, Control 1, Sorted Cells, Stimulated T Cells, T cells, gDNA	ISS10000	immunoSEQ hsTCRB Service (Survey)
HealthyControl3_CD8_CFSElow	128587	na	101356	na	0.7882	8765	6486	0.1649	0.0153419627	TCRB	Buffy Coat, CD8+, Control, Control 3, Sorted Cells, Stimulated T Cells, T cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
HealthyControl2_unstim_Treg	131637	na	105463	na	0.8012	104281	83590	0.0268	0.0020575935921395166	TCRB	Buffy Coat, CD4+, Control, Control 2, Sorted Cells, T cells, T regulatory cells (Treg), Unstimulated T Cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
HealthyControl3_unstim_CD8	45901	na	34497	na	0.7516	25666	19975	0.1564	0.0692524016	TCRB	Buffy Coat, CD8+, Control, Control 3, Sorted Cells, T cells, Unstimulated T Cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
HealthyControl3_Restim_CTLA4Ig	183808	na	145741	na	0.7929	28948	22482	0.1766	0.0200355425	TCRB	Buffy Coat, Control, Control 3, T cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
HealthyControl3_unstim_CD4	217772	na	167501	na	0.7692	120478	93850	0.0839	0.0145611074	TCRB	Buffy Coat, CD4+, Control, Control 3, Sorted Cells, T cells, Unstimulated T Cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
HealthyControl3_primary_CTLA4Ig	97641	na	75982	na	0.7782	54652	42189	0.0652	0.003145481994419471	TCRB	Buffy Coat, Control, Control 3, T cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
HealthyControl2_CD4nonTreg	211535	na	170440	na	0.8057	161145	129766	0.0512	0.0186106544	TCRB	Buffy Coat, CD4+, Control, Control 2, Sorted Cells, T cells, Unstimulated T Cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
HealthyControl2_Restim_CTLA4Ig	142808	na	115189	na	0.8066	23347	18513	0.1564	0.0184653047	TCRB	Buffy Coat, Control, Control 2, Stimulated T Cells, T cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
HealthyControl1_primary_CTLA4Ig	74484	na	61377	na	0.8240	69929	57605	0.0044	8.472229274702251E-4	TCRB	Buffy Coat, Control, Control 1, Stimulated T Cells, T cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
HealthyControl2_CD4_CFSElow	108037	na	83140	na	0.7696	17579	13624	0.1600	0.0562665388	TCRB	Buffy Coat, CD4+, Control, Control 2, Sorted Cells, Stimulated T Cells, T cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
HealthyControl3_CD4_CFSElow	146029	na	111812	na	0.7657	16125	12023	0.1774	0.0251046401	TCRB	Buffy Coat, CD4+, Control, Control 3, Sorted Cells, Stimulated T Cells, T cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
HealthyControl3_CD4nonTreg	209764	na	161868	na	0.7717	99329	77775	0.1084	0.0184409525	TCRB	Buffy Coat, CD4+, Control, Control 3, Sorted Cells, T cells, Unstimulated T Cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
HealthyControl2_unstim_CD8	72155	na	59266	na	0.8214	39031	31246	0.2376	0.121182464	TCRB	Buffy Coat, CD8+, Control, Control 2, Sorted Cells, T cells, Unstimulated T Cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
HealthyControl1_Restim_CTLA4Ig	71197	na	58451	na	0.8210	31591	25357	0.0639	0.0192811079	TCRB	Buffy Coat, Control, Control 1, Stimulated T Cells, T cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
HealthyControl1_CD4_CFSElow	2862	93466	2211	72214	0.7725	2514	1923	0.0466	0.0131830396	TCRB	Buffy Coat, CD4+, Control, Control 1, Sorted Cells, Stimulated T Cells, T cells, gDNA	ISS10000	immunoSEQ hsTCRB Service (Survey)
HealthyControl1_unstim_Treg	82233	1116751	67821	921042	0.8247	74123	60877	0.0313	0.0014309879893066341	TCRB	Buffy Coat, CD4+, Control, Control 1, Sorted Cells, T cells, T regulatory cells (Treg), Unstimulated T Cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
HealthyControl1_CD4nonTreg	471616	7195500	389387	5940937	0.8256	413189	339442	0.0362	0.0017892801	TCRB	Buffy Coat, CD4+, Control, Control 1, Sorted Cells, T cells, T regulatory cells (Treg), Unstimulated T Cells, gDNA	ISS20000	immunoSEQ hsTCRB Service (Deep)
Subject5_preTx_unstim_Treg_run1	44489	na	36170	na	0.8130	31693	25713	0.0298	0.003898258399836332	TCRB	CD4+, Patient 4, Pre-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA		
Subject5_preTx_CD4nonTreg	271369	na	218864	na	0.8065	226227	182468	0.0131	7.401856740318005E-4	TCRB	CD4+, Month 12, Patient 4, Post-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA		
Subject2_preTx_unstim_Treg_run1	9040	na	7425	na	0.8213	7727	6336	0.0098	0.009696969958593945	TCRB	4-1BB+, Patient 2, Sorted Cells, T cells, T regulatory cells (Treg), Tolerant, With Carrier RNA, gDNA		
Subject2_preTx_CD4nonTreg	169445	na	139904	na	0.8257	138469	114311	0.0164	0.0018298261974748406	TCRB	CD4+, CD8+, Patient 2, Pre-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, Without Carrier RNA, gDNA		
Subject1_preTx_unstim_Treg_run1	12432	na	10184	na	0.8192	8346	6821	0.0279	0.002847604048318931	TCRB	Patient 1, Pre-Transplant, Sorted Cells, T cells, T regulatory cells (Treg), Tolerant, Unstimulated T Cells, With Carrier RNA, gDNA		
Subject1_preTx_CD4nonTreg	189871	na	157183	na	0.8278	149366	123634	0.0228	0.003340055998404347	TCRB	CD4+, CD8+, Patient 1, Pre-Transplant, Sorted Cells, Stimulated T Cells, T cells, Tolerant, Without Carrier RNA, gDNA		
Subject4_pretx_CD4nonTreg	169421	na	136888	na	0.8080	161652	130542	0.0072	0.003776810207349073	TCRB	CD4+, CD8+, Month 06, Non-tolerant, Patient 5, Post-Transplant, Sorted Cells, T cells, Unstimulated T Cells, Without Carrier RNA, gDNA		
Subject4_preTx_unstim_Treg	143718	na	114915	na	0.7996	136764	109524	0.0048	5.656354503168428E-4	TCRB	CD8+, Non-tolerant, Patient 5, Pre-Transplant, Sorted Cells, Stimulated T Cells, T cells, T regulatory cells (Treg), Without Carrier RNA, gDNA		
Subject4_24mo_unstim_CD8	185362	4137164	147369	3289185	0.7950	109110	85967	0.2075	0.0376448892	TCRB	4-1BB+, CD8+, Month 24, Patient 4, Sorted Cells, T cells, T regulatory cells (Treg), Tolerant, gDNA		
Subject4_6mo_unstim_CD8	160464	4397347	134736	3692325	0.8397	44774	35390	0.3554	0.0662300885	TCRB	CD4+, Month 06, Month 14, Non-tolerant, Patient 5, Post-Transplant, Sorted Cells, T cells, Unstimulated T Cells, gDNA		
Subject4_preTx_CD8_CFSElow	111772	4442167	87894	3493218	0.7864	17630	13617	0.1639	0.0152421063	TCRB	CD4+, CD8+, Non-tolerant, Patient 5, Pre-Transplant, Pre-Treatment, Sorted Cells, Stimulated T Cells, T cells, gDNA		
Subject4_preTx_CD4_CFSElow	128346	3862177	101773	3062545	0.7930	33430	25903	0.1587	0.0177388415	TCRB	CD4+, Month 06, Non-tolerant, Patient 5, Post-Transplant, Pre-Treatment, Sorted Cells, T cells, Unstimulated T Cells, gDNA		
Subject4_12mo_unstim_CD4	217826	3688291	172095	2913962	0.7901	195797	153618	0.0385	0.004988054382155354	TCRB	CD4+, Month 12, Patient 4, Pre-Transplant, Sorted Cells, Stimulated T Cells, T cells, Tolerant, gDNA		
Subject4_12mo_unstim_CD8	191894	3679239	155297	2977569	0.8093	102398	80858	0.2256	0.0443526246	TCRB	CD8+, Month 12, Patient 4, Pre-Transplant, Sorted Cells, T cells, T regulatory cells (Treg), Tolerant, gDNA		
Subject4_pretx_unstim_CD4	219552	3115662	176851	2509697	0.8055	199315	160586	0.0315	0.0029652983107293094	TCRB	CD4+, CD8+, Non-tolerant, Patient 5, Pre-Transplant, Pre-Treatment, Sorted Cells, Stimulated T Cells, T cells, gDNA		
Subject4_24mo_unstim_CD4	200656	3207898	158150	2528356	0.7882	176347	138327	0.0389	0.00521801515686495	TCRB	CD4+, Month 24, Patient 4, Pre-Transplant, Sorted Cells, T cells, T regulatory cells (Treg), Tolerant, Unstimulated T Cells, gDNA		
Subject4_6mo_unstim_CD4	183956	2552126	147034	2039888	0.7993	137614	109414	0.0715	0.0183887538	TCRB	CD8+, Month 06, Month 14, Non-tolerant, Patient 5, Post-Transplant, Sorted Cells, T cells, Unstimulated T Cells, gDNA		
Subject4_pretx_unstim_CD8	186702	2403665	150851	1942118	0.8080	132651	108065	0.1275	0.0607064031	TCRB	CD8+, Non-tolerant, Patient 5, Pre-Transplant, Pre-Treatment, Sorted Cells, Stimulated T Cells, T cells, gDNA		
Subject2_preTx_CD8_CFSElow	na	2152104	na	1988313	0.9239	882	633	0.6494	0.668513954	TCRB	CD8+, Patient 2, Pre-Transplant, Sorted Cells, Stimulated T Cells, T cells, Tolerant, gDNA		
Subject2_preTx_CD4_CFSElow	na	477330	na	368603	0.7722	731	560	0.2098	0.0602843724	TCRB	CD4+, Patient 2, Pre-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA		
Subject5_14m_CD4	na	2246579	na	1687826	0.7513	2384	1783	0.3559	0.0879314542	TCRB	CD4+, CD8+, Non-tolerant, Patient 5, Pre-Transplant, Sorted Cells, T cells, Unstimulated T Cells, gDNA		
Subject5_14mo_CD4_unstim	na	1171575	na	990200	0.8452	10510	8553	0.1666	0.0148101393	TCRB	CD4+, CD8+, Non-tolerant, Patient 5, Pre-Transplant, Sorted Cells, T cells, Unstimulated T Cells, gDNA		
Subject5_preTx_CD8_CFSElow_run1	na	2380565	na	1889439	0.7937	6209	4809	0.1597	0.0337301195	TCRB	CD8+, Month 12, Patient 4, Post-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA		
Subject5_preTx_CD4_CFSElow_run1	na	1706167	na	1383798	0.8111	2215	1590	0.1711	0.0388582721	TCRB	4-1BB+, CD4+, Non-tolerant, Patient 5, Sorted Cells, T cells, T regulatory cells (Treg), gDNA		
Subject2_preTx_CD8_unstim	na	2106439	na	1781272	0.8456	59217	49462	0.1673	0.0438495651	TCRB	CD8+, Patient 2, Pre-Transplant, Sorted Cells, T cells, T regulatory cells (Treg), Tolerant, gDNA		
Subject2_preTx_CD4_unstim	na	1492110	na	1248354	0.8366	91510	77080	0.0400	0.0017895565066501173	TCRB	CD4+, CD8+, Patient 2, Pre-Transplant, Sorted Cells, Stimulated T Cells, T cells, Tolerant, gDNA		
Subject2_6mo_CD8_unstim	na	2666969	na	2433173	0.9123	4871	3896	0.4907	0.262761831	TCRB	CD4+, CD8+, Patient 2, Pre-Transplant, Sorted Cells, Stimulated T Cells, T cells, Tolerant, gDNA		
Subject2_6mo_CD4_unstim	na	2193860	na	1844607	0.8408	12066	9839	0.1269	0.0132261235	TCRB	CD4+, CD8+, Month 06, Patient 2, Post-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA		
Subject2_24mo_CD8_unstim	na	2441681	na	2121548	0.8689	21494	17616	0.3514	0.0651052892	TCRB	CD4+, CD8+, Month 06, Patient 2, Post-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA		
Subject2_24mo_CD4_unstim	na	2341825	na	1974480	0.8431	59776	49980	0.0700	0.006187452	TCRB	CD4+, CD8+, Month 24, Patient 2, Post-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA		
Subject2_12mo_CD8_unstim	na	2440492	na	2257010	0.9248	12767	10562	0.4217	0.161935925	TCRB	CD4+, CD8+, Month 24, Patient 2, Post-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA		
Subject2_12mo_CD4_unstim	na	2278401	na	1878230	0.8244	28250	23443	0.1075	0.006608882125349906	TCRB	CD4+, CD8+, Month 12, Patient 2, Post-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA		
Subject5_preTx_CD8_CFSElow_run2	na	594965	na	457365	0.7687	4331	3457	0.1493	0.0100751044	TCRB	Blood, CD4+, CD8+, Month 24, Patient 4, Post-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA		
Subject5_preTx_unstim_CD4	na	1088847	na	901411	0.8279	109369	91030	0.0378	0.0036853333	TCRB	Blood, CD4+, CD8+, Month 12, Patient 4, Post-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA		
Subject5_preTx_unstim_CD8	na	832182	na	663108	0.7968	74792	61074	0.1021	0.0512586199	TCRB	Blood, CD4+, CD8+, Patient 4, Pre-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA		
Subject5_preTx_CD8_CFSElow_run3	na	1581578	na	1262113	0.7980	5782	4556	0.1527	0.009735261289378152	TCRB	Blood, CD8+, Month 24, Patient 4, Post-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA		
Subject5_preTx_CD4_CFSElow_run3	na	703011	na	552198	0.7855	4357	3457	0.1828	0.0627619103	TCRB	Blood, CD4+, Patient 2, Pre-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA		
Subject5_preTx_CD4_CFSElow_run2	na	613681	na	500356	0.8153	3987	3125	0.2276	0.0465128832	TCRB	Blood, CD4+, Patient 1, Pre-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA		
Subject5_6mo_CD8	na	3190886	na	2679011	0.8396	33566	26805	0.3365	0.110434785	TCRB	Blood, CD4+, CD8+, Non-tolerant, Patient 5, Pre-Transplant, Sorted Cells, T cells, T regulatory cells (Treg), Unstimulated T Cells, gDNA		
Subject5_6mo_CD4	na	2110247	na	1775802	0.8415	48030	39148	0.1606	0.0329135805	TCRB	Blood, CD4+, Non-tolerant, Patient 5, Pre-Transplant, Sorted Cells, T cells, T regulatory cells (Treg), Unstimulated T Cells, gDNA		
Subject1_preTx_CD4_CFSElow	na	4146788	na	3490099	0.8416	13185	10513	0.1283	0.0171393417	TCRB	Blood, CD4+, Case, Patient 1, Pre-Transplant, Sorted Cells, Stimulated T Cells, T cells, Tolerant, gDNA		
Subject1_preTx_CD8_CFSElow	na	2198370	na	1788184	0.8134	8494	6779	0.2146	0.0302412957	TCRB	Blood, CD8+, Case, Patient 1, Pre-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA		
Subject1_6mo_CD8	na	1178654	na	966695	0.8202	40056	33273	0.1319	0.0237996466	TCRB	Blood, CD8+, Case, Month 06, Patient 1, Post-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA		
Subject1_6mo_CD4	na	4565095	na	3805048	0.8335	55172	45451	0.0902	0.0413329862	TCRB	Blood, CD4+, Case, Month 06, Patient 1, Post-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA		
Subject1_18mo_CD8	na	3211016	na	2750916	0.8567	24747	20448	0.3424	0.103931561	TCRB	Blood, CD8+, Case, Month 18, Patient 1, Post-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA		
Subject1_18mo_CD4	na	3153867	na	2619266	0.8305	49996	41660	0.0648	0.0028446901682592546	TCRB	Blood, CD4+, Case, Month 18, Patient 1, Post-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA		
Subject1_preTx_CD8_unstim	na	5000388	na	4221057	0.8441	79501	65381	0.1246	0.032162562	TCRB	Blood, CD8+, Case, Patient 1, Pre-Transplant, Sorted Cells, Stimulated T Cells, T cells, Tolerant, gDNA		
Subject1_preTx_CD4_unstim	na	3212755	na	2675854	0.8329	108699	90606	0.0322	0.001145055073450728	TCRB	Blood, CD4+, Case, Patient 1, Pre-Transplant, Sorted Cells, T cells, Tolerant, Unstimulated T Cells, gDNA		
